name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Kevin Love,MIN,PF,58,1226,904,147,21,36,47.2,86.6,42.7,354,322,76,126,2124,53,0,2519.3
LeBron James,MIA,SF,54,1412,401,381,36,84,48.4,75.6,34.3,365,420,69,200,2066,22,3,2504.7
Dwight Howard,ORL,C,55,1276,758,64,124,73,58.9,59.6,0,380,448,0,184,2018,45,0,2491.6
Blake Griffin,LAC,PF,56,1264,697,200,31,37,51.1,62.6,42.9,300,473,6,155,2116,46,0,2381.4
Amar'e Stoudemire,NY,C,54,1405,464,149,121,54,51.1,78.9,47.4,330,524,9,184,1996,22,0,2351.3
Russell Westbrook,OKC,PG,56,1237,271,467,25,96,43.5,84.6,30.2,384,398,19,215,1982,26,3,2289.7
Pau Gasol,LAL,C,57,1059,608,207,102,35,52.3,81.6,0,253,403,0,106,2125,33,1,2267.1
Derrick Rose,CHI,PG,54,1338,237,438,34,54,44.3,84,34.3,284,407,80,190,2049,17,1,2265.4
Chris Paul,NO,PG,59,948,236,566,3,146,46.9,89.5,41.2,264,258,56,137,2104,24,0,2241.2
Monta Ellis,GS,SG,57,1421,194,311,14,132,45.5,77.1,35.3,263,444,90,192,2329,5,0,2220.3
Dwyane Wade,MIA,SG,52,1354,356,224,51,76,50.4,73.3,31.5,341,439,45,166,1932,7,0,2205.2
Kevin Durant,OKC,SF,52,1480,371,146,47,57,46.1,88.1,33.7,408,395,94,160,2059,11,0,2192.2
Kobe Bryant,LAL,SF,57,1432,289,276,7,71,46,82.6,30.8,333,440,73,174,1927,6,1,2174.8
Zach Randolph,MEM,PF,55,1100,722,98,20,38,48.2,74.7,18.8,216,433,6,102,2023,42,0,2127.4
Deron Williams,BKN,PG,53,1113,204,517,12,66,45.6,84.4,33.9,309,276,84,188,2005,27,0,2101.3
LaMarcus Aldridge,POR,PF,54,1196,492,114,66,62,49.7,78.8,18.8,245,471,3,115,2150,25,0,2098.4
Al Jefferson,UTA,C,58,1038,522,90,110,36,49.5,76.9,0,166,436,0,71,2054,22,0,2020.4
Carmelo Anthony,NY,PF,52,1311,403,145,32,44,45.2,81.8,34.3,347,413,46,146,1850,13,0,2018.1
Luis Scola,HOU,PF,60,1138,499,149,38,42,49.8,72.9,0,188,475,0,115,1988,15,0,2005.3
Josh Smith,ATL,PF,55,908,479,192,94,74,47.4,73.7,34.8,165,313,39,148,1926,23,1,1958.8
David West,NO,PF,57,1096,439,135,51,56,51.3,80.7,33.3,218,436,2,119,2011,12,0,1920.3
Paul Millsap,UTA,PF,57,1000,463,133,48,79,53.4,75.3,36.4,192,398,4,100,1942,16,0,1909.1
