name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
LeBron James,CLE,SF,81,2304,613,587,93,137,48.9,78,34.4,594,657,132,241,3054,29,7,4139.1
Dwyane Wade,MIA,SG,79,2386,398,589,106,173,49.1,76.5,31.7,590,766,88,272,3048,20,0,4033.1
Chris Paul,NO,PG,78,1781,432,861,10,216,50.3,86.8,36.4,455,567,64,231,3002,50,6,3811.9
Dwight Howard,ORL,C,79,1624,1093,112,231,77,57.2,59.4,0,504,560,0,240,2821,63,1,3479.6
Kobe Bryant,LAL,SF,82,2201,429,399,37,120,46.7,85.6,35.1,483,682,118,210,2960,8,2,3418.3
Dirk Nowitzki,DAL,PF,81,2094,681,197,63,61,47.9,89,35.9,485,713,61,157,3050,26,0,3297.7
Chris Bosh,TOR,PF,77,1746,771,191,77,67,48.7,81.7,24.5,504,603,12,174,2927,43,0,3071.7
Antawn Jamison,WAS,PF,81,1801,721,153,25,95,46.8,75.4,35.1,341,562,112,125,3095,38,0,3010.7
Pau Gasol,LAL,C,81,1528,780,284,81,52,56.7,78.1,50,343,591,1,157,2999,37,1,2999
Tim Duncan,SA,C,75,1450,800,264,126,38,50.4,69.2,0,334,558,0,165,2522,49,0,2969
Brandon Roy,POR,SF,78,1765,370,400,22,88,48,82.4,37.7,416,550,83,152,2903,3,0,2877
Andre Iguodala,PHI,SF,82,1541,471,434,36,131,47.3,72.4,30.7,377,462,80,222,3269,11,0,2869.2
Kevin Durant,OKC,SF,74,1871,482,205,53,96,47.6,86.3,42.2,452,564,97,225,2884,15,0,2829.9
Joe Johnson,ATL,SG,79,1688,346,455,19,84,43.7,82.6,36,299,471,149,195,3124,4,1,2796.7
Vince Carter,BKN,SG,80,1662,410,376,38,82,43.7,81.7,38.5,335,437,151,166,2946,8,1,2792
Yao Ming,HOU,C,77,1514,761,137,150,30,54.8,86.6,100,381,565,1,234,2588,38,0,2758.7
David Lee,NY,PF,81,1293,951,174,22,80,54.9,75.5,0,249,522,0,150,2824,65,0,2749.2
David West,NO,PF,76,1593,646,173,68,49,47.2,88.4,24,367,604,6,163,2981,29,0,2698.7
Paul Pierce,BOS,SF,81,1658,457,294,27,80,45.7,83,39.1,459,421,119,228,3035,7,0,2633.4
Andre Miller,PHI,PG,82,1337,368,534,14,109,47.3,82.6,28.3,338,477,15,199,2976,12,2,2626.6
LaMarcus Aldridge,POR,PF,81,1470,605,157,77,77,48.4,78.1,25,261,594,7,121,3003,19,0,2618.5
