name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
LeBron James,CLE,SF,16,471,109,124,11,22,52.5,78.6,35.6,125,134,26,63,607,2,1,790.8
Dirk Nowitzki,DAL,PF,15,406,128,41,25,17,46.6,89.2,35.3,116,127,12,21,567,6,0,684.1
Chris Bosh,TOR,PF,14,371,172,25,15,8,52.3,76.8,75,119,117,6,28,504,12,0,632.9
Josh Smith,ATL,PF,16,251,149,64,41,25,52,56.2,0,45,103,0,35,540,6,0,622.8
Dwyane Wade,MIA,SG,14,376,66,77,16,30,41,79.4,24.6,123,104,15,46,543,0,0,616.7
Chris Kaman,LAC,C,16,329,146,30,24,11,52.2,75.9,0,63,133,0,55,592,6,0,564.2
Andre Iguodala,PHI,SF,15,277,102,91,9,27,43.8,66.7,31.5,48,89,17,47,597,2,0,560.9
Carmelo Anthony,DEN,PF,13,388,74,42,4,22,47.9,86.4,35.5,121,117,11,38,463,1,0,553.8
Joe Johnson,ATL,SG,16,347,86,72,1,17,44.3,86.6,33.8,58,107,25,42,613,0,0,552.2
Dwight Howard,ORL,C,15,260,176,20,28,14,65.7,56,0,84,88,0,44,480,10,0,541.2
Kevin Durant,OKC,SF,13,360,91,36,9,21,45.1,84.9,21.6,107,110,11,43,514,3,0,540.2
Baron Davis,LAC,PG,16,250,63,114,11,30,41.6,83.6,35,61,63,21,41,517,2,0,537.6
Trevor Ariza,HOU,SF,16,293,88,60,9,34,38.8,73.2,36,41,66,40,41,620,1,0,533.6
Kobe Bryant,LAL,SF,12,362,62,40,3,25,47.4,86.1,19.2,87,130,5,39,456,0,0,513.4
Al Horford,ATL,PF,16,209,158,32,28,12,56.2,76.6,100,36,85,1,25,545,8,0,501.6
Monta Ellis,GS,SG,13,291,58,69,7,31,46.3,77,47.1,47,110,8,42,507,2,0,498.1
Brook Lopez,BKN,C,14,257,128,22,37,6,47.4,77.5,0,55,101,0,38,502,6,0,491.6
Steve Nash,PHO,PG,14,230,37,169,3,4,51.2,92.9,45.1,39,61,23,53,462,9,0,488.9
Carlos Boozer,UTA,PF,13,244,144,40,8,13,52.6,80,0,44,100,0,30,460,9,0,488.8
Luis Scola,HOU,PF,16,245,158,32,6,16,52,75.6,100,34,104,1,40,487,9,0,486.6
