name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
James Harden,HOU,PG,61,2096,388,450,53,106,43.5,86.1,35.2,619,332,271,273,2241,19,4,3281.6
Giannis Antetokounmpo,MIL,PF,57,1690,783,329,58,59,54.7,63.3,30.6,361,540,83,209,1762,52,4,3148.1
LeBron James,LAL,SF,60,1544,473,636,30,74,49.8,69.7,34.9,239,453,133,239,2094,42,13,3034.6
Nikola Jokic,DEN,C,65,1313,663,446,43,77,52.8,81.3,31.4,218,441,71,202,2101,39,12,2815.6
Trae Young,ATL,PG,60,1778,254,560,8,65,43.7,86,36.1,481,341,205,289,2120,28,2,2779.8
Luka Doncic,DAL,PG,54,1549,502,470,10,59,46.1,75.2,31.8,369,356,156,227,1799,34,14,2767.4
Damian Lillard,POR,PG,58,1677,250,453,21,59,45.7,88.8,39.4,389,305,226,168,2139,16,1,2648.5
Anthony Davis,LAL,PF,55,1467,517,172,134,82,51.1,84.5,33.5,386,443,65,135,1889,27,0,2642.4
Bradley Beal,WAS,SG,57,1741,242,347,23,71,45.5,84.2,35.3,385,423,170,194,2053,8,0,2545.9
Domantas Sabonis,IND,C,62,1147,771,310,30,47,54,72.3,25.4,214,441,17,170,2158,50,4,2521.2
Bam Adebayo,MIA,C,65,1053,683,333,85,78,56.7,69,7.7,236,407,1,185,2234,39,3,2513.1
Russell Westbrook,HOU,PG,53,1456,426,370,17,88,47.4,77.7,25.4,269,517,51,236,1904,21,8,2496.2
Andre Drummond,CLE,C,57,1010,864,152,93,109,53.3,57.5,14.3,169,413,5,203,1878,47,0,2475.8
Hassan Whiteside,POR,C,61,993,869,74,187,24,61.8,68,57.1,153,414,4,117,1910,51,0,2451.8
Devin Booker,PHO,SG,62,1619,258,408,16,45,48.7,91.6,36,405,418,126,244,2241,10,0,2418.6
Rudy Gobert,UTA,C,62,934,850,93,123,47,69.8,62.1,0,228,353,0,120,2142,45,0,2313.5
Kawhi Leonard,LAC,SF,51,1370,373,254,31,92,46.9,88.9,36.6,311,369,107,140,1643,13,1,2304.6
Jayson Tatum,BOS,SF,59,1390,418,174,53,83,44.8,80.6,39.8,225,332,167,132,2043,10,0,2292.6
