name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
LeBron James,MIA,SF,64,1729,500,389,52,116,53.3,76.9,36,397,585,54,216,2382,23,0,3032.5
Kevin Durant,OKC,SF,68,1881,537,235,78,90,49.7,86.3,38.4,446,518,133,253,2590,18,0,2960.9
Josh Smith,ATL,PF,68,1271,645,258,118,94,46,63.1,25.5,205,491,28,169,2370,28,0,2687
Blake Griffin,LAC,PF,68,1410,728,219,48,58,54.9,52.9,12.5,256,574,2,153,2451,41,0,2671.1
Kevin Love,MIN,PF,57,1475,765,118,29,48,45.1,82.4,37.9,388,377,111,131,2199,50,0,2593
Russell Westbrook,OKC,PG,68,1582,306,369,21,116,45.8,82.1,32,344,523,64,246,2370,7,0,2530.7
Chris Paul,LAC,PG,62,1213,221,562,4,157,47.8,85,37.2,266,352,81,127,2238,23,0,2516.2
Dwight Howard,ORL,C,56,1133,800,108,120,83,57.1,48.6,0,285,424,0,180,2127,43,0,2481
Pau Gasol,LAL,C,67,1158,694,245,89,37,50.2,78.2,27.6,212,461,8,147,2490,42,1,2463.3
Kobe Bryant,LAL,SF,59,1638,316,268,19,69,43,84.3,30.3,393,492,87,211,2262,3,0,2384.2
Al Jefferson,UTA,C,63,1192,597,137,103,47,49.1,76.8,25,139,525,1,64,2121,31,0,2349.9
DeMarcus Cousins,SAC,C,65,1166,713,103,77,96,44.6,69.5,14.3,264,448,2,179,1979,36,0,2343.1
Andrew Bynum,LAL,C,62,1164,732,88,120,28,56,68.6,20,243,459,1,156,2176,39,0,2314.4
John Wall,WAS,PG,68,1101,301,536,58,96,42,79.3,6.7,326,383,3,265,2440,16,0,2309.2
Brandon Jennings,MIL,PG,68,1276,233,377,22,106,41.6,79.8,33.2,194,346,130,148,2391,6,0,2229.1
Marc Gasol,MEM,C,65,952,579,204,121,62,48.2,74.8,8.3,237,356,1,121,2370,24,0,2197.8
Paul Millsap,UTA,PF,64,1061,563,150,52,118,49.5,79.2,22.6,202,419,7,112,2099,21,0,2189.6
Greg Monroe,DET,C,68,1039,657,152,48,87,52,74.6,0,209,415,0,165,2139,31,0,2160.4
